name,salary,company_name,metro_station,description_list_items,company_address,rating,skills,description
Программист 1С,от 250 000 руб. на руки,ООО Смак-Султана,Белокаменная,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Белокаменная, Бульвар Рокоссовского, Преображенская площадь, Краснобогатырская улица, 2с1",Нет отзывов,"1С: Предприятие 8, Разработка инструкций, 1С: Управление Торговлей, Обновление конфигурации 1С, 1С программирование","Что Вам нужно будет делать:   Составлять инструкции, обучать и консультировать пользователей   Сопровождать решения на базе 1С: УТ 11.4, БП 3.0, ЗУП   Обновлять конфигурации, тестировать   Разрабатывать новые функциональные подсистемы, отчёты, обработки, печатные формы   Настраивать права доступа   Устанавливать обновления БП   Консультирование пользователей в конфигурациях УТ 11, БП 3   Обучение пользователей   Что от Вас требуется:   Опыт работы от 3-х лет с типовыми конфигурациями УТ, БП, ЗУП (опыт работы в фирмах франчайзи 1С приветствуется)   Знание основных принципов бухгалтерского, управленческого учёта   Уверенная работа с управляемыми формами   Опыт в интеграции программных продуктов на базе 1С   Умение разбирать и дорабатывать ""чужой код»   ​​Опыт работы с торговым оборудованием: онлайн ККТ, сканеры штрих-кода, ТСД   Опыт работы с web-сервисами и http-запросами   Способность понимать пользователей, формулировать задачи и выполнять их   Способность к быстрому обучению, внимательность, самостоятельность, ответственность   Что мы предлагаем:  официальное трудоустройство график работы с 9.00 до 18.00 или с 10.00 до 19.00 стабильную заработную плату конкурентную на рынке ИТ возможность карьерного роста комфортный офис и дружелюбную обстановку на рабочем месте"
Программист 1С,от 110 000 до 200 000 руб. на руки,ИнтелАв,,"['Требуемый опыт работы', '', ':', '1–3 года']","посёлок Коммунарка, Бачуринская улица, 8Ас1",Нет отзывов,,"Обязанности: - Знание внутреннего языка и запросов 1С 8; - Умение работать по ТЗ; - Желательно наличие сертификатов 1С специалист; - Разработка не типовых решений в соответствии с требованиями клиента; - Опыт работы в одной из конфигураций: УНФ, УТ 11, КА 2.4 или ERP   Требования: - Опыт работы по профилю от 1 года; - Знание ТИПОВЫХ КОНФИГУРАЦИЙ одного или нескольких программных продуктов 1С 8; - Навыки программирования в среде платформ семейства 1С:Предприятие 8   Условия: - Постоянная работа, полный день, работа на территории работодателя; - Что не знаете - обучим; - Оплачиваемая парковка (если требуется) - Корпоративное обучение и тренинги; - Возможность профессионального и карьерного роста + бонусы; - Работа в офисе, возможна удаленная работа."
Инженер-программист (С/С++),,АО НПК СПП,Авиамоторная,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Авиамоторная, Авиамоторная улица, 53к1",Нет отзывов,"Qt, C++, C/C++, Разработка инструкций, MS PowerPoint","Обязанности:  Разработка программ, обеспечивающих возможность выполнения алгоритма и соответственно поставленной задачи средствами вычислительной техники; Отладка программ; Тестирование программ; Разработка инструкций по работе с программами, оформление необходимой технической документации; Сопровождение внедренных программ и программных средств;  Требования:  Знание языка программирования С/С++; Базовые представления о средах разработки программного обеспечения; Базовые представления об операционных системах Windows, Unix;  Условия:  Оформление по ТК РФ; График работы 5/2 с 9.00 до 18.00, пт. до 16.45; Заработная плата по договоренности; Испытательный срок 3 мес.; Работа в крупной и стабильной компании."
Программист 1С,от 140 000 до 200 000 руб. на руки,ИП Кубовцова Жанна Александровна,,"['Требуемый опыт работы', '', ':', '3–6 лет']","Конаково, Учебная улица, 17",Нет отзывов,,"""ИТСервис-Про""Условия: График работы:- 5х2 с 10:00 до 19:00, с 09:00 до 18:00 по МСК- 5х2 с 10:00 до 19:00, с 09:00 до 18:00 по МСК по 2-3 часа в день (Сменный) Удаленная работа. 1 неделя - тестовая, испытательный срок 1-2 месяца, решение по сотрудничеству принимается в течение одной недели с момента начала работы. Зарплата: Оклад+Премия (Оклад от 60 000 тыс+Премия (По ставке часа))Схема мотивации обсуждается индивидуально. Совокупный доход от 100 до 200 000 тыс на руки. Требования: Дисциплина и ответственность, самоорганизованность. Доступность в рабочее время.-Опыт работы не менее 3 х лет. -Уверенное знание 1С УТ 11.х , ERP2.х/КА 2.4; -Опыт работы на предприятиях торгового сектора; -Знание и понимание процессов торговой организации; -Опыт решения задач автоматизации как в команде с аналитиком, так и самостоятельно; -За вами не нужно переделывать ваш код, вы самостоятельно можете спроектировать решение; -Вы умеете использовать типовые механизмы конфигурации при доработки(БСП и т.п.); -Знакомы с механизмами HTTP, web -сервисов в 1с; Доступность 100% в рабочее время   Обязанности:- Поддержка и оптимизация текущей информационной системы; - Доработка конфигураций УТ, КА, БП, ЗУП, CRM, ERP, ДО и т.д. в соответствии с потребностями бизнеса; - Доработка обменов данными; - Разработка механизмов интеграции с внешними системами и сервисами; - Создание нестандартных отчетов в учетных системах; - Участие в составлении ТЗ; - Обновление баз 1С (типовые и нетиповые), сторонних модулей в 1С;"
PHP-разработчик,от 180 000 до 220 000 руб. на руки,Веб-Мост,Красносельская,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Красносельская, Сокольники, Русаковская улица, 13","4,7","PHP, MySQL, Laravel, Redis, Git, Twig, Vue","Более 10 лет мы разрабатываем электронный журнал — систему, которая упрощает повседневную работу педагогов в образовательных организациях, а родителям и ученикам помогает своевременно узнавать о домашних заданиях, оценках, изменениях в расписании.Мы используем:  PHP 7, Laravel, Twig, Guzzle, PHPStan, Deployer MySQL 8, Redis Vue.js, Vuex, Yarn, Lodash, Font Awesome Pro, ESLint GitLab, Drone CI, Coda.io, Redmine, Slack  Чем предстоит заниматься:  разработка серверной части приложения проектирование API оптимизация работы приложения  Требования:  опыт разработки на PHP от 1 года опыт работы с MySQL или PostgreSQL, умение писать запросы и использования любой ORM навыки работы с Git  Опыт фронтенд-разработки, представление о Highload и об уязвимостях веб-приложений будут плюсом.Условия работы:  офис в бизнес-центре класса B+ (м. Красносельская/Сокольники), опенспейс ~120м2 официальное оформление испытательный срок до 2 месяцев гибкое начало рабочего дня: с 8 до 11 часов частично удаленный формат работы (2 дня в неделю)"
PHP-программист Laravel,от 180 000 до 300 000 руб. на руки,ООО АЙТИ.СПЕЙС,,"['Требуемый опыт работы', '', ':', '3–6 лет']",,Нет отзывов,"PostgreSQL, Jira, PHP, ООП, Git, Solid, Kiss, Laravel","Проект - первое место в Сколково из 42-х проектов. Уникальный проект, вышедший на международной рынок.digital-платформа для проведения онлайн-кастинга. Мы помогаем актерам и их агентам найти подходящие роли в интересных проектах, а кастинг-директорам, режиссерам и продюсерам найти таланты.IT платформа, акселератор проектов и маркетплэйс талантов с умным алгоритмом подбора актеров, проведения кастинга. Прозрачная цепочка взаимодействия между создателями любых проектов и исполнителями. Мощный помощник для кастинг-директора и агента, продюсера, режиссёра. О задачах: Компания планирует продолжать своё развитие на международном рынке, привлекая актеров различного уровня.Обновления фреймворка, примерно, раз в полгода. Сейчас, из экосистемы, мы используем horizon, sanctum, socialite и nova. В ближайшее время добавим telescope и откажемся от nova. В работе с Sanctum немного изменим подход, под новые условия. Планируется крупный редизайн и создание мобильного приложения. Технологии на проекте: - PHP 8 и Laravel - Horizon для очередей - PostgreSQL как БД - Запускаем все в Docker - Gitlab для хранения кода и запуска pipeline - Jira для ведения задач Требования к кандидату:   Отличное знание основных принципов ООП, умение применять на практике паттерны проектирования.   Знаете и применяете на практике SOLID, KISS, DRY   PHP 7+ (опыт более 5 лет);  Опыт работы с Laravel и пакетами его экосистемы от 3 лет Умение самостоятельно выявлять уязвимости и архитектурные просчеты. Обладаете опытом разработки высоконагруженных систем. Умеете строить читаемую архитектуру в зависимости от продуктовой задачи. Разбираетесь в разных хранилищах данных и умеете их использовать там, где они необходимы (реляционные базы данных, хранилища типа «Ключ — значение» и др.). Обладаете широким IT-кругозором и желанием развиваться. Опыт работы с ElasticSearch  Опыт командной работы (git, jira и т.д.)   Не боитесь профилировщиков и трассировщиков.   Условия:  Постоянная работы; Стабильная, развивающаяся IT-компания Рост заработной платы Минимум бюрократии Дружественная атмосфера, открытая и демократичная корпоративная культура. ДМС и Фитнес Выплаты заработной платы 2 раза в месяц; График работы 5/2, гибкое начало рабочего дня; Полностью удаленная работа."
Разработчик Julia в команду инженерного софта,,ООО Ритм,,"['Требуемый опыт работы', '', ':', '3–6 лет']",,Нет отзывов,"Английский — B1 — Средний, Linux, Julia, Haskell, SCALA, Elixir, Kotlin, Java, C++, R, MATLAB, Ruby, Rust, LISP, Bash, Git, Docker","Команда занимается разработкой новых сервисов и развитием существующих. Разрабатываем полезности для работы инженеров, ученых, и программистов, и конечно же - студентов. Ищем внимательного и самостоятельного разработчика, готового к изучению нового стека и способного выдавать результат в заявляемый срок согласованный с командой. Точно хотим видеть:  Опыт работы с Julia или желание его получить Опыт работы на функциональных языках программирования (Haskell, Scala, Elixir, Kotlin и др). Опыт работы на С++, R, Matlab будет преимуществом. Теоретические и практические навыки в области алгоритмов и структур данных, архитектурных паттернов Хорошее владение Docker, GitLab, GitLab CI/CD, Linux, bash Готовность пройти одно из собеседований на Julia  Очень приветствуем:  Внимательность Привычка к однозначности, емкости, конкретности и ясности внутренней коммуникации Участие в open source проектах  Условия:  Проект - отдушина для тех, кому важна тематика, общественная или научная значимость Короткий цикл собесов и принятия решения Обеспечим все пожелания, связанные с обустройством эффективного рабочего процесса Используем самые удобные и приятные тулы организации и автоматизации разработки Компетентный и мотивированный коллектив, много вызовов для профессионального роста Можно удаленно или в офисе Полный рабочий день и гибкий график Стабильность и официальное оформление по ТК РФ, Белые выплаты, АйТи ипотека, отсрочка и иные плюшки 2022 года. индивидуальный уровень дохода согласуем с Вами по результатам собеседования"
Программист 1С,от 250 000 до 250 000 руб. на руки,ООО Амиком Трейд,Электрозаводская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Электрозаводская, площадь Журавлёва, 2с2","4,7",,"Вакансия программист 1С.  Требования:  Высшее образование. Требуемый опыт работы: от 5 лет. Полная занятость, полный день. Умение переключаться между задачами. Способность работать в команде. Понимание основных бизнес-процессов торговой компании. Способность разбираться в типовом и «чужом» программном коде.  Кандидат должен знать:  Стандарты программирования в среде 1С. Платформу 1С 8.3, в т.ч. технологии работы с управляемыми формами. Знание языка запросов, знание СКД. Архитектуру типовых программных продуктов: 1С: УТ 11.4, БП 3, ЗУП 3. Знание универсальных механизмов обмена данными КД2, КД3.  Обязанности:  Доработка конфигурации под задачи компании. Доработка типовых и разработка новых отчетов. Обновление типовых и не типовых конфигураций. Интеграция 1С со внешними системами Настройка, доработка, поддержка обменов между базами. КД 3. Тестирование разработанных механизмов (как своих, так и чужих). Написание базовой технической документации по разработкам (инструкции, описания изменений).  Условия:  Оформление по ТК Пятидневная рабочая неделя с 9-30 до 18-00 Заработная плата 200 000-200 000 рублей. м. Электрозаводская, Площадь Журавлева, д 2, стр, 2."
1С Программист Разработчик,от 180 000 до 230 000 руб. на руки,Recruitix,Авиамоторная,"['Требуемый опыт работы', '', ':', '3–6 лет']",,Нет отзывов,,"Мы представляем торгово-производственную компанию, лидирующую в своей отрасли 25 лет. Ищем для нее постоянного штатного сотрудника на позицию Программист 1С.    Задачи: Преимущественно сотрудник будет заниматься автоматизацией производственных процессов, развитием системы управления производством.  Разработка и доработка ПО на 1С Внедрение систем в работу предприятия Интеграция внешних систем в системы предприятия Работа с внутренними заказчиками разработки  Важные дополнения:  Применяемые конфигурации в компании: ""Управление Торговлей"", ""Бухгалтерия Предприятия"", ""Управление Производственным Предприятием"", ""Зарплата и Управление Персоналом"", а также ""Комплексная автоматизация"" Подчинение - Начальнику отдела информационных технологий Штатная команда 1С программистов, команда расширяется Вакансия открыта в связи с расширением отдела, в компании реализуется множество изменений, призванных усовершенствовать, сделать современными и технологичными бизнес-процессы.   Ожидания от кандидатов:   Опыт разработки ПО на 1С 8.3, в том числе с использованием «расширений»   Знание языка запросов 1С и стандарта SQL   Опыт разработки ПО для автоматизации производственной деятельности предприятия   Знание основы бух. учета, процессов закупки, складского учета (WMS), реализации товаров   Опыт разработки ПО на 1С 7.7 (в компании реализуется переход на 8.3.). Как минимум нужно знакомство с 7.7 - умение читать код, выгрузить данные и т.п.   Будут плюсом и будут востребованы следующие компетенции:   Понимание особенностей организации производственного процесса в условиях «позаказного производства»   Опыт интеграции 1С с платежными, процессинговыми и другими сторонними информационными системами   Опыт разработки мобильных приложений для 1С   Опыт по обеспечению доступа к 1С через web   Опыт работы в организациях, осуществляющих розничную торговлю   Опыт подключения торгового оборудования (1С 7.7, 1С 8.х), фискальных регистраторов, в т.ч. и онлайн ККТ   Наличие опыта разработки ПО в других средах программирования    Условия:  Официальное трудоустройство с 1 дня Полная занятость в нормированном режиме, график 5/2 (пн-пт) с 9-00 до 18-00 Работа только в штате и в режиме полной занятости Предпочтительно офисный формат. Также рассматриваем кандидатов, желающих работать в гибридном или удаленном формате Нормированный рабочий режим, ""work-life balance"". Иногда бывают переработки для технических работ, они полностью оплачиваются Мобильная связь Корпоративное питание (в офисе) Оплата от компании 50 % при приобретении ДМС Комфортная просторная бесплатная парковка на территории Оплачиваемое обучение при необходимости Компания ответственна перед сотрудниками, имеет безупречный имидж надежного поставщика и работодателя Здоровый микроклимат и теплая корпоративная культура Сплоченная стабильная команда, низкая текучесть персонала Минимум бюрократии, доступность руководства и быстрая реализация решений  Финансовые условия:  Предлагаемая вилка заработной платы, на которую рассматриваем кандидатов - от 180 000 до 230 000 на руки. После прохождения собеседования с руководителем ИТ отдела финальному кандидату будет предложена окончательная сумма оклада с учетом его компетенций В компании предусмотрен дальнейший рост дохода по мере развития специалиста Оплачиваются переработки, которые бывают в случае проведения плановых технических работ За крупные результаты, достижения, повышенную нагрузку - в компании премируют Годовые премии в размере среднемесячного дохода (""13-я зарплата"")   О компании-работодателе:  Развивающаяся российская компания с 25-летней историей Производитель и оптовый поставщик интерьерной продукции, а также комплектующих, материалов, оборудования (каналы продаж: опт, розница, e-com, маркетплейсы) Лидер в своей отрасли, доля рынка более 40 % Территория присутствия бренда - вся Россия + страны СНГ 300+ сотрудников Компания ответственна перед сотрудниками, имеет безупречный имидж надежного поставщика и работодателя Здоровый микроклимат и теплая корпоративная культура Сплоченная стабильная команда, низкая текучесть персонала Минимум бюрократии, доступность руководства и быстрая реализация решений"
Программист-разработчик 1С (Завод),от 180 000 до 250 000 руб. на руки,GRI,Мякинино,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Мякинино, Павшино, Строгино, Щукинская, улица Маршала Прошлякова, 30","4,7","1С программирование, 1С: Предприятие 8","IT департамент крупного Ecommerce №1 в РФ в своей области, отделился в самостоятельную компанию GRI. Сейчас внутри царит атмосфера хорошо управляемого и организованного стартапа, с налаженными процессами, где человек не просто винтик в большой машине, а важный и ценный сотрудник. 200 грамотных, образованных и вежливых коллег, готовы помочь и поддержать тебя. Сейчас работаем над автоматизацией 460 магазинов, и поддержкой операционных процессов 4000 сотрудников по всей РФ. 3 млн (MAU) уникальные пользователи в месяц, 350-450к DAU (ежедневно), 5 млн сессий на сайте, до 25к онлайн-заказов в пике. Любишь отдыхать так же круто, как работать? Мы подружимся. Почему у нас интересно работать?  Широкий профиль задач: оптимизация и автоматизация процессов розничной сети, склада и логистики, уменьшение рутинных операций, повышение эффективности процессов, разработка форм и интерфейсов, учет и отчетность; Исходя из знаний и пожеланий, мы вместе с вами определяем конфигурации, с которыми вы будете работать: Розница, УПП, ЗУП, БП, ERP; Высоконагруженные системы с террабайтными базами данных, большое количество разнообразных обменов с веб-сервисами; Открытость к предложениям по оптимизации и улучшению работы: как к техническим, так и процессным.  Мы ищем людей, которые будут ключевыми в цепочке создания IT продуктов для компании и готовы совершать революцию в ритейле каждый день!   Что ты будешь делать:  Автоматизация группы компаний на базе программных продуктов 1С8 Предприятие. Расширение и развитие используемого функционала. Интеграция с другими программными продуктами: 1С УПП, БП 3.0, ЗУП 3.1, 1С Розница; Взаимодействие с ключевыми сотрудниками компании при постановке задачи, поиск оптимального решения, формализация требований. Решение проблем производительности информационных систем, организация регламентного обслуживания информационных систем. Внедрение системы 1С: ERP, пост-проектное сопровождение .    Что мы ожидаем от тебя:  Опыт разработки конфигураций 1С (типовые и самописные). Опыт разработки средств интеграции и взаимодействия системы ""1С: Предприятие 8"" с другими системами (обязательно). Опыт анализа и описания бизнес-процессов. Опыт оптимизации кода, встроенных запросов. Отличное знание языка программирования, типовых механизмов платформы 1С: Предприятие 8 Отличное знание языка запросов 1С: Предприятие 8. Отличное знание внутренней архитектуры баз данных платформы 1С: Предприятие. Опыт работы с данными в формате XML, JSON    Любим стратегию WIN-WIN и взамен готовы предлагать:  Уровень ЗП, готовы обсуждать по твоим пожеланиям Работа в современной IT компании Оформление по ТК РФ В данной вакансии есть полная удаленка Гибкое начало рабочего дня Выдаем современное оборудование: Mac или мощные PC на выбор Возможность реализовать собственные архитектурные решения Скидки от наших партнеров, в том числе и на спорт в 13 городах России Реально интересные проекты Крутая сплоченная команда, с грамотными спецами и крутым современным лидом    Если тебе близка стратегия WIN-WIN и ты готов брать ответственность за сложные задачи — ждем в команде GRI."
Программист-разработчик 1С,от 90 000 руб. на руки,ООО Лаборатория информационных систем и технологий,,"['Требуемый опыт работы', '', ':', '3–6 лет']",,Нет отзывов,"1С программирование, 1С: Предприятие 8, 1С: Бухгалтерия, 1С: Зарплата и кадры","Обязанности:  Сопровождение автономной (собственная разработка) конфигурация на базе 1С:Предприятие 8.3; Программирование и разработка на технологической платформе 1С:Предприятие 8.3; Разработка нового функционала и доработка текущего в существующей конфигурации (включая полное тестирование), в соответствии с ТЗ (постановкой задачи) от системного, профильного Аналитика. Взаимодействие (постановка задачи и передача результатов разработки) только с Аналитиком без работы с конечными пользователями;  Требования:  Большой опыт (разработки) программирования на платформе 1С 8.3 Хорошее знание алгоритмов и методик разработки  Условия:  Полная занятость, работа дистанционная Уровень заработной платы, обсуждается по результатам собеседования"
Программист 1C,от 230 000 до 230 000 руб. на руки,ООО Спорт Поинт,,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Одесская улица, 2",Нет отзывов,"1С: Предприятие 8, 1С: Розница, 1С: Управление Торговлей, 1С: CRM ПРОФ, Оптимизация кода","Приглашаем тебя на работу в компании Sport Point & Lestate. Мы являемся профессиональным дистрибьютором и оператором розничного рынка спортивной одежды, представляющим ведущие мировые бренды в России! Мы сотрудничаем с такими компаниями как: Nike, adidas, Under Armour, Asics, Puma, Levi's и др., и владеем собственной розничной сетью Sport Point Основные задачи:- Внедрение новых, поддержание и развитие текущих информационных систем компании (УТ, Розница, CRM, WMS, Мобильная 1С);- Разработка конфигурации, совместная разработка с использованием хранилища конфигурации 1С;- Интеграция 1С со сторонними системами;- Тестирование собственного кода;- Техническая поддержка пользователей: 30%;- Выполнение поставленных задач в сроки;- Работа в команде, работа на результат.Какие знания Вам потребуются:- Опыт работы разработчиком 1C от 3 лет;- Умение разбираться в чужом коде;- Умение самостоятельно находить решения задач, используя базы знаний по 1С, интернет ресурсы, знания коллег;- Готовность развиваться, осваивать новые технологии.Мы предлагаем:- Условия оплаты труда обсуждаются на собеседовании с успешным кандидатом. Просим в сопроводительном письме или в резюме указать Ваши ожидания по заработной плате.- Крутые и интересные проекты;- Скидки на продукцию Компании;- Оформление по ТК РФ;- Чередование удаленной и офисной работы;- График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно)."
Web-программист (PHP developer),,Бюро переводов Перевод & Право,Дмитровская,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Дмитровская, Савёловская, Большая Новодмитровская улица, 23с1",Нет отзывов,"Yii, PHP, MySQL, CRM, Веб-программирование","«Перевод и Право» – крупнейшая переводческая компания в России и за рубежом. На российском рынке более 8 лет. Наша компания растет и поэтому приглашаем в команду фулл-стек разработчика CRM системы (PHP/JS/MySQL). Позиция: full stack PHP developer Формат работы: офис Занятость: полная Стек: PHP7.3 (YII2) / JS (VueJS) / MySQL / Docker / RabbitMQ / Микросервисы на C# (.net) Обязанности:  Ведение и доработки CRM написанной на Фреймворке Yii2; Создание нового функционала; Составление и поддержка в актуальном состоянии технической документации.  Требования:  Опыт коммерческой разработки от 1 года; Уверенное владение PHP, JS, SQL, понимание ООП и основ работы с базами данных; Опыт работы с PHP - фреймворками (Yii2/Laravel/Symfony/etc.); Опыт работы с JS – фреймворками (VueJS/React/Angular/etc.);  Условия:  Работа в офисе; Возможно работать на пол ставки или по выходным;  Заинтересовавшихся прошу выслать резюме и указать уровень желаемой заработной платы."
Software Engineer,от 250 000 до 350 000 руб. на руки,Gara.capital,,"['Требуемый опыт работы', '', ':', '1–3 года']",,Нет отзывов,"C++, C/C++, Multithread Programming","Gara.Capital занимается высокочастотным алгоритмическим трейдингом. Мы поставляем ликвидность на крупнейшие классические и криптовалютные площадки, повышая доступность и справедливость рынков для всех его участников. Наша компания — лидер по ежедневному объему торгов сразу в нескольких секциях и инструментах. За 4 года мы собрали tier-1 команду лучших в своем деле специалистов: призеров и победителей международных конкурсов и олимпиад, руководителей и разработчиков из крупнейших технологических компаний. Мы самореализуемся через работу: каждый из наших сотрудников работает над сложными технологическими вызовами, имеет доступ к огромным ресурсам фонда и разносторонней экспертизе коллег. Это позволяет каждому из нас расти над собой, достигая амбициозных целей. Сейчас мы ищем специалиста на позицию Software Engineer в нашу команду.   Чем предстоит заниматься:  работать с большим потоком данных с высокими требованиями к задержкам, работать над задачами отказоустойчивости и масштабируемости системы, подключать новые торговые площадки, профилировать и оптимизировать существующие решения, развивать инфраструктуру обучения и тестирования торговых моделей.  Наш технологический стэк:  C++17(20) для реализации требовательных к нагрузкам сервисов. Python для реализации вспомогательных скриптов и компонент. Go для прототипирования и исследований. Kafka, Minio, Clickhouse, MongoDB для хранения и обработки данных. Docker, Kubernetes, Ansible для развёртывания окружения.    Что мы ожидаем от вас:  уверенное владение С++, знание классических структур данных и алгоритмов, понимание многопоточного и асинхронного программирования, будет плюсом знание архитектуры процессоров и сетевых протоколов, приветствуются достижения на соревнованиях и олимпиадах по информатике.    Что мы предлагаем:  Заработную плату от 250.000-350.000 рублей на руки. Квартальный/годовой бонус по результатам работы. Устройство по ТК РФ. Индексацию зарплаты при чрезмерном росте доллара в рамках FX Protection. Программу Wellbeing, в рамках которой специалисты помогут подобрать питание, витамины и выработать привычки для улучшения продуктивности. ДМС со стоматологией. Офис в центре Москвы. Для сотрудников из регионов — релокацию в Москву и помощь в перевозке вещей."
